"March 24, 2022 at 02:50PM",What Spotify data show about the decline of English | The Economist,Graphic detail Jan 29th 2022 edition Our interactive analysis of five years of hits in 70 countries—and the links between them Jan 29th 2022 B AD BUNNY may not…,https://www.economist.com/interactive/graphic-detail/2022/01/29/what-spotify-data-show-about-the-decline-of-english
"March 24, 2022 at 02:50PM",Modality ⎮ Visualise and analyse all transport options,"A fresh approach to data in the face of climate and social challenges An approach where data highlights the impact of transport plans on citizens, and ensures…",https://with-modality.com
"March 24, 2022 at 02:50PM",burds!,burds! web experiment by Linus inspiration from Loek Vugs open source on GitHub,https://burds.vercel.app/
"March 28, 2022 at 03:32PM",Is Geometry a Language That Only Humans Know?,Neuroscientists are exploring whether shapes like squares and rectangles — and our ability to recognize them — are part of what makes our species special.…,https://www.nytimes.com/2022/03/22/science/geometry-math-brain-primates.html
"March 29, 2022 at 09:46PM",Against Performative Positivity,https://futuress.org/magazine/against-performative-positivity/?utm_source=densediscovery&utm_medium=email&utm_campaign=newsletter-issue-181,https://futuress.org/magazine/against-performative-positivity/
"March 29, 2022 at 09:47PM",Why Life Can’t Be Simpler - Farnam Street,https://fs.blog/why-life-cant-be-simpler/?utm_source=densediscovery&utm_medium=email&utm_campaign=newsletter-issue-177,http://fs.blog/why-life-cant-be-simpler/
"March 29, 2022 at 09:57PM",The Internet Is Just Investment Banking Now,…,https://www.theatlantic.com/technology/archive/2022/02/future-internet-blockchain-investment-banking/621480/
"March 29, 2022 at 09:59PM",I Heard It In A Magazine,"It’s easy to take music technology for granted in the year 2022. We are nearing a century of music synthesis, and access to electronic sounds both new and old…",https://hii-mag.com
"March 29, 2022 at 10:11PM",His software sang the words of God. Then it went silent.,"This would be easier if you could hear it for yourself. I can tell you what TropeTrainer was, what it did, and what it meant to people. I can tell you about the…",https://www.inputmag.com/features/tropetrainer-thomas-buchler-torah-software
"April 4, 2022 at 08:18AM","TITAA #28: Visual Poetry, Humans and Humanoids",https://arnicas.substack.com/p/titaa-28-visual-poetry-humans-and,https://arnicas.substack.com/p/titaa-28-visual-poetry-humans-and
"April 19, 2022 at 08:18AM",Ambient Music Isn’t a Backdrop. It’s an Invitation to Suspend Time.,https://www.nytimes.com/2022/04/14/arts/music/ambient-music.html,https://www.nytimes.com/2022/04/14/arts/music/ambient-music.html
"April 19, 2022 at 08:43AM",How Kinopio is Made,"You’ve probably heard, or lived, a story that goes like this… I’m tired of technology . I’m leaving to do something real like sculpt clay, work wood, herd…",http://pketh.org/how-kinopio-is-made.html
"April 19, 2022 at 08:45AM","Mushrooms communicate with each other using up to 50 ‘words’, scientist claims","Buried in forest litter or sprouting from trees, fungi might give the impression of being silent and relatively self-contained organisms, but a new study…",https://www.theguardian.com/science/2022/apr/06/fungi-electrical-impulses-human-language-study
"April 19, 2022 at 08:47AM","That which is unique, breaks",https://simonsarris.substack.com/p/that-which-is-unique-breaks?r=987v,https://simonsarris.substack.com/p/that-which-is-unique-breaks
"April 19, 2022 at 08:50AM",When Accuracy Isn’t Enough: Visualization and Game Design,https://link.medium.com/bCqEZFAmkpb,https://towardsdatascience.com/when-accuracy-isnt-enough-visualization-and-game-design-48b95425130a
"April 22, 2022 at 09:11AM",DRAW YOUR FEELINGS,https://jazzmyth.substack.com/p/draw-your-feelings?s=r,https://jazzmyth.substack.com/p/draw-your-feelings
"April 22, 2022 at 09:11AM",DRAW YOUR FEELINGS,https://jazzmyth.substack.com/p/draw-your-feelings?s=r,https://jazzmyth.substack.com/p/draw-your-feelings
"April 25, 2022 at 09:27AM","Glowy, Gauzy Diagrams Are the Self-help Books of the Instagram Age","Digital Using design to process our relentless age of anxiety. Words by Margaret Rhodes Published on February 11th, 2021 Tessa Forrest A deceptively simple…",https://eyeondesign.aiga.org/group-therapy-with-the-designers-behind-the-self-help-diagrams-youre-seeing-on-instagram/
"April 26, 2022 at 02:54PM",A comprehensive catalogue of human digestive tract bacteria,"The human digestive tract is home to thousands of different strains of bacteria. Many of these are beneficial, while others contribute to health problems such…",https://news.mit.edu/2019/catalogue-human-digestive-gut-bacteria-0902
"April 26, 2022 at 09:56PM",Why Libraries May Never Stop Being People Places,A curbside reading room outside the Crown Heights branch of the Brooklyn Public Library. Credit... Gregg Richards Redesigned buildings with outdoor gathering…,https://www.nytimes.com/2022/04/21/style/libraries-outdoor-public-space.html
"April 26, 2022 at 09:57PM",The botmaker who sees through the Internet - The Boston Globe,"Darius Kazemi builds ""bots,"" small, automated programs that create mischievous/funny/poignant Twitter feeds, or other randomly generated things that cleverly…",https://www.bostonglobe.com/ideas/2014/01/24/the-botmaker-who-sees-through-internet/V7Qn7HU8TPPl7MSM2TvbsJ/story.html
"April 27, 2022 at 09:31AM",A Web Renaissance,"Thanks to the mistrust of big tech, the creation of better tools for developers, and the weird and wonderful creativity of ordinary people, we’re seeing an…",https://anildash.com/2022/04/13/a-web-renaissance/
"April 29, 2022 at 08:34AM",Loon – Finding the Right Cancer Drug with Microscopy and Visualization OR How to use Exemplars to Effectively Browse Large Complex Data Sources,"In this blog post, we want to tell two stories: First, we want to explore how visualization can be used to select cancer treatments. And second, we want to tell…",https://vdl.sci.utah.edu/blog/2022/04/27/loon/
